#,CBU,Project Name,Type of Project,Description,Brand,Project Phase,R&I Lead,05 Launch Date,# SKUs,Volume,NS (M EUR),%CO,Saving (KEUR),CO addi,Ipro Type,Decision forum,Status,FTE AOP,Comments
1,Waters,Diamond 1,New Pack 03 Development,Explore new glass bottle with more premium with opportunity on LW glass. The exploration is more in Sirma Hayat Bottle 330mL (existing 325gr vs 50gr) and 750mL (existig 580gr vs 530gr) with mountain in the bottom of the glass.,REFLECTION,02 Define,Maya,,2.0,7.5,0.9,21,,5,Full Iproview,LIM Waters,Stop,,Diamond 1 Project STP as per LIM Feb 2026
1,Waters,Moksa,New Pack 03 Development,"New bottle 03 Development for 220mL bottle PET for VIT. Expand the project to Sumatera area,strategically adding business competion with Aquviva (low price)",VIT,06 Post Launch,Maya,2025-06-01 00:00:00.000000000,1.0,54.5,7.2,9.6,,,Full Iproview,LIM Waters,On track,,
1,Waters,Nimbus,Productivity,Preform Vit LW 550mL (existing 11.1gr to 10.8gr),VIT,05 Launch,Maya,2025-04-01 00:00:00.000000000,1.0,226.0,0.32,,,,Full Iproview,F4G,On track,,
1,Waters,Nimbus,Productivity,Preform VIT LW 1500mL (existing 24.8gr to 23.50gr),VIT,05 Launch,Maya,2025-04-01 00:00:00.000000000,1.0,253.0,0.07,,,,Full Iproview,F4G,On track,,
1,Waters,BCP PET Wankai,BCP,BCP for new resin supplier PET for VIT with additional saving,VIT,03 Develop,Maya,,3.0,479.0,0.05,,,,Full Iproview,F4G,Delay,,AA results not passed
1,Waters,Cap Vit Improvement,Quality / Ops topics,"Improve cap ""hurt to open"" with improving knurling area",VIT,03 Develop,Maya,,3.0,479.0,,,,,,Other,On track,,
1,Waters,Yin Yang,BCP,"In house Vit at Citeureup plant for capacity building, specific for 550mL",VIT,04 Implement,Maya,2026-04-01 00:00:00.000000000,1.0,73.0,,,,,Full Iproview,F4G,On track,,
1,Waters,Blue Star,New Pack 03 Development,Printing laser of  AQUA logo on cap for autenticity and originality,AQUA,03 Develop,Maya,2026-10-01 00:00:00.000000000,4.0,,,,,,Full Iproview,LIM Waters,On track,,
1,Waters,BCP HDI SC,BCP,BCP Screw cap new supplier for VIT,VIT,03 Develop,Maya,,3.0,479.0,,,,,Quick Iproveiw,Other,On track,,
1,Waters,Feather Improvement,Quality / Ops topics,"Improve cap ""TEB loose"" on cube 220mL ",AQUA,01 Ideate,Maya,,1.0,,,,,,Quick Iproveiw,Other,On track,,
1,Waters,Cube Optimization,New Pack 03 Development,"Explore new idea using snap cap 2522/2621 for cube 220mL adding consumer satisfaction and productivity on preform, cap and outer carton",AQUA,01 Ideate,Arfe,,1.0,,,,,,Quick Iproveiw,Other,On track,,
1,Waters,Blue Galaxy,New Pack 03 Development,"Strengthen Overall brand superiority and imagery on modern LOOK packaging, fresh & aspirational of new bottle shape with opportunity on cost saving by LW bottle weight (600mL: 13.97gr to 12.25gr and 27.5gr to 24.8gr)",AQUA,02 Define,Arfe,2027-06-01 00:00:00.000000000,2.0,3160.0,331.6,43,,3,Full Iproview,LIM CBU,On track,,
1,Waters,One 1L Bali,New Pack 03 Development,03 Develop new bottle 1L AQUA related to the Bali under 1L plastic bottle banned.,AQUA,05 Launch,Helmy,2025-12-01 00:00:00.000000000,1.0,132.0,3.9,24.6,,new,Full Iproview,LIM Waters,On track,,
1,Waters,Tulip,New Pack 03 Development,"Exploring new bottle 350mL for water beverages using Mizone preform weight 18gr as baseline, and explore opportunity on LW prefom and outer carton for the phase 2.",AQUA,03 Develop,Helmy,2026-08-01 00:00:00.000000000,1.0,24.9,,29.5,,new,Full Iproview,LIM CBU,On track,,
1,Waters,Sumatera,Productivity,Preform LW AQUA focus on body weight thickness reduction and keep the neck finish and localized at Sumatera Island. LW 600mL (from 13.97gr to 13.35gr) and 1500mL (from 26.15 gr to 24.50gr),AQUA,04 Implement,Helmy,2026-08-01 00:00:00.000000000,2.0,,0.15,,,,Full Iproview,F4G,On track,,
1,Waters,BCP Resin HDPE,BCP,BCP resin HDPE new supplier ,AQUA,03 Develop,Helmy,,5.0,,,,,,Quick Iproveiw,Other,On track,,
1,Waters,Gosok-gosok Expansion,Artwork + Pack validation,Expand unique code printed at carton to Klaten plant (Center Java)as part of promotional and pull factor from retailer/consumer buying AQUA 600mL,AQUA,04 Implement,Arfe,2026-02-01 00:00:00.000000000,1.0,,,,,,Quick Iproveiw,LIM Waters,On track,,
1,Waters,Open Flap Improvement,Quality / Ops topics,Improve gluing performance of outer carton to optimize the carton refo productivity. 02 Define spec of bonding strength (R&I and QFS)and machine parameters setting (ENG team),AQUA,03 Develop,Haydar,2026-02-01 00:00:00.000000000,4.0,,,,,,Quick Iproveiw,F4G,On track,,
1,Waters,Transformer,Artwork change,Artwork change of Label Mizone Cocoboost and Lechi Lemon using new claim,MIZONE,03 Develop,Haydar,,1.0,,,,,,Full Iproview,LIM Waters,On track,,
1,Waters,Superman Refo,Productivity,"Degramage - reformulate outer carton with optimized and super optimized spec. LW 330mL from 150/140/150 to 125/125/125, LW 1500mL from 150/140/150 BF to 150/140/135 BF",AQUA,04 Implement,Haydar,2026-02-01 00:00:00.000000000,2.0,,0.5,,,,Full Iproview,F4G,On track,,
1,Waters,RPET Indorama,BCP,BCP new resin rPET supplier due to Veolia capacity concerns.,AQUA,03 Develop,Haydar,,5.0,,,,,,Quick Iproveiw,F4G,On track,,
1,Waters,RPET Jugs to SPS,BCP,03 Developing new rPET material on SPS from rPET JUGS,AQUA,03 Develop,Haydar,,2.0,,,,,,Full Iproview,F4G,On track,,
1,Waters,Minion,Productivity,Productivity of cup material by reduction weight from 3.5gr to 2.5g with rounded shape cup,AQUA,04 Implement,Haydar,2026-03-01 00:00:00.000000000,1.0,,0.662,,,,Quick Iproveiw,F4G,On track,,
1,Waters,New Screw Cap Mizone,BCP,03 Developing new screw cap mizone to comply to 100% SST 3 bar guideline for Cool+ and Standard Cap technology (supplier SSAP and ITA),MIZONE,03 Develop,Haydar,2026-05-01 00:00:00.000000000,1.0,,,,,,Quick Iproveiw,F4G,On track,,
